,MSFT,GOOG
2014-11-03,7.815482767478624e-07,4.3468482370692755e-07
2014-11-04,6.167475018015398e-05,0.00012937395405342367
2014-11-05,1.1273986063686455e-06,1.3725394574513863e-06
2014-11-06,0.00015135682794656288,6.795492125088446e-05
2014-11-07,1.6603811499452754e-06,1.5352586894948651e-06
2014-11-10,0.00012406631072333756,0.00010481589273931695
2014-11-11,9.216021007381444e-07,1.16766996339154e-06
2014-11-12,0.00012069859527988241,0.00016122973903257476
2014-11-13,1.0187281101343428e-06,1.4937131121095712e-06
2014-11-14,0.00013391574059102624,0.00014238957952066164
2014-11-17,9.16122502334065e-07,7.478209542691301e-07
2014-11-18,0.00014341385612094497,0.00013187027386656286
2014-11-19,1.0584838994695134e-06,1.1317188724194977e-06
2014-11-20,0.0001404030539951809,9.036528951877921e-05
2014-11-21,7.577372268243633e-07,1.2961800874768963e-06
2014-11-24,0.00010786359769645595,0.00014237102954262979
2014-11-25,1.279829856974216e-06,1.3690095942380923e-06
2014-11-26,0.00012069545742402869,0.0001118977915298182
